127.0.0.1 - - [16/Mar/2019:09:20:40 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:20:58 +0530] "GET /Mini_Project_Uf/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:22:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:22:51 +0530] "POST /Mini_Project_Uf/login HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:08 +0530] "GET /Mini_Project_Uf/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:08 +0530] "GET /Mini_Project_Uf/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:08 +0530] "GET /Mini_Project_Uf/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:08 +0530] "GET /Mini_Project_Uf/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:08 +0530] "GET /Mini_Project_Uf/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:08 +0530] "GET /Mini_Project_Uf/css/popuo-box.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:08 +0530] "GET /Mini_Project_Uf/css/viewbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:09 +0530] "GET /Mini_Project_Uf/images/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:09 +0530] "GET /Mini_Project_Uf/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:09 +0530] "GET /Mini_Project_Uf/images/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:09 +0530] "GET /Mini_Project_Uf/images/bgc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:10 +0530] "GET /Mini_Project_Uf/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:10 +0530] "GET /Mini_Project_Uf/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:10 +0530] "GET /Mini_Project_Uf/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:10 +0530] "GET /Mini_Project_Uf/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:10 +0530] "GET /Mini_Project_Uf/js/jquery.magnific-popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:10 +0530] "GET /Mini_Project_Uf/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:09:23:11 +0530] "GET /Mini_Project_Uf/js/jquery.viewbox.min.js HTTP/1.1" 304 -
